key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXbwd5VzcVuveqdRQAwj,apache_struts:core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultTypeConverter.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Float""; it is deprecated.",146,56c4767ac1fec95a262b55be6374df41,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,146,146,33,38,CODE_SMELL,apache
AXbwd5WpcVuveqdRQAwk,apache_struts:core/src/main/java/com/opensymphony/xwork2/conversion/impl/XWorkConverter.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Integer""; it is deprecated.",231,04ee1ceee8ac4549633297af8ecb31b8,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,231,231,32,39,CODE_SMELL,apache
AXbwd5AscVuveqdRQAwW,apache_struts:core/src/main/java/com/opensymphony/xwork2/inject/ContainerImpl.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""isAccessible""; it is deprecated.",184,f5f4052fdda341c9f6184dcdca9be9dd,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,184,184,56,68,CODE_SMELL,apache
AXbwd5AscVuveqdRQAwX,apache_struts:core/src/main/java/com/opensymphony/xwork2/inject/ContainerImpl.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""isAccessible""; it is deprecated.",277,d32e5de3dd809be21f89102a223318ed,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,277,277,58,70,CODE_SMELL,apache
AXbwd5AscVuveqdRQAwY,apache_struts:core/src/main/java/com/opensymphony/xwork2/inject/ContainerImpl.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""isAccessible""; it is deprecated.",328,bb55ff48eb41cf145be5e8a7f4caf799,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,328,328,68,80,CODE_SMELL,apache
AXbwd5ERcVuveqdRQAwZ,apache_struts:core/src/main/java/com/opensymphony/xwork2/ognl/SecurityMemberAccess.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""isAccessible""; it is deprecated.",81,e627d220e21b5e822379d41b13a09286,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,81,81,28,40,CODE_SMELL,apache
AXbwd5U0cVuveqdRQAwd,apache_struts:core/src/main/java/com/opensymphony/xwork2/util/AbstractLocalizedTextProvider.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""isAccessible""; it is deprecated.",389,cc831d72c044e93566b3ee8f2b1220dc,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,389,389,19,31,CODE_SMELL,apache
AXbwd5VccVuveqdRQAwe,apache_struts:core/src/main/java/com/opensymphony/xwork2/util/DomHelper.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",91,dd61766d9ff18bdf03daccd474eddd22,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,91,91,51,62,CODE_SMELL,apache
AXbwd5VccVuveqdRQAwf,apache_struts:core/src/main/java/com/opensymphony/xwork2/util/DomHelper.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",154,bc14704a497be12215f4a1d964f996fe,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,154,154,60,71,CODE_SMELL,apache
AXbwd5QhcVuveqdRQAwb,apache_struts:core/src/main/java/com/opensymphony/xwork2/util/classloader/ResourceStoreClassLoader.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""getPackage""; it is deprecated.",94,4b19738cafb43b3ebbcc2c95a6097fd5,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,94,94,12,22,CODE_SMELL,apache
